epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,12498.2,1.31594,0.72497,1.09915,0.88156,0.8163,0.90241,0.56432,1.24961,0.65986,1.06056,0.0067825,0.0067825,0.0067825
67,12684.2,1.31255,0.72845,1.098,0.87069,0.8306,0.90085,0.56704,1.24127,0.66237,1.06587,0.006733,0.006733,0.006733
68,12875.6,1.31616,0.71936,1.0888,0.88045,0.82264,0.89959,0.56715,1.24176,0.67197,1.06622,0.0066835,0.0066835,0.0066835
69,13061.6,1.30712,0.73724,1.08965,0.85886,0.83756,0.90109,0.56987,1.24109,0.66747,1.06042,0.006634,0.006634,0.006634
70,13252.3,1.30627,0.72538,1.09159,0.89277,0.81978,0.90664,0.57236,1.23709,0.65492,1.05745,0.0065845,0.0065845,0.0065845
71,13440.2,1.30438,0.71974,1.08569,0.89766,0.8172,0.90948,0.57383,1.25171,0.64859,1.06398,0.006535,0.006535,0.006535
72,13630.4,1.29809,0.71698,1.08417,0.88781,0.82266,0.90522,0.56777,1.241,0.66281,1.05729,0.0064855,0.0064855,0.0064855
73,13817.7,1.29617,0.70852,1.08374,0.87624,0.83113,0.89925,0.56916,1.23428,0.64878,1.05697,0.006436,0.006436,0.006436
74,14006.8,1.29172,0.71216,1.07774,0.88766,0.82425,0.90424,0.57432,1.23738,0.66078,1.0583,0.0063865,0.0063865,0.0063865
75,14193.2,1.2773,0.69295,1.07272,0.88516,0.83237,0.90944,0.57387,1.22955,0.64532,1.05514,0.006337,0.006337,0.006337
76,14378.8,1.29151,0.7065,1.08231,0.88601,0.82705,0.90808,0.57605,1.22549,0.64338,1.05682,0.0062875,0.0062875,0.0062875
77,14566,1.27177,0.69767,1.07599,0.87003,0.84595,0.90681,0.57499,1.2379,0.63818,1.06306,0.006238,0.006238,0.006238
78,14756.5,1.28314,0.69751,1.08189,0.86496,0.8375,0.90813,0.57469,1.24148,0.6381,1.06565,0.0061885,0.0061885,0.0061885
79,14944.7,1.26505,0.68167,1.07187,0.88768,0.8216,0.90605,0.57875,1.22527,0.63708,1.05753,0.006139,0.006139,0.006139
80,15133.6,1.26246,0.69768,1.07564,0.89666,0.82319,0.91125,0.57691,1.23136,0.63886,1.05563,0.0060895,0.0060895,0.0060895
81,15320.1,1.27733,0.69454,1.08466,0.90311,0.81895,0.91047,0.57702,1.22826,0.6327,1.05462,0.00604,0.00604,0.00604
82,15510.3,1.26661,0.69466,1.07703,0.89957,0.81313,0.90789,0.57902,1.22258,0.62679,1.05435,0.0059905,0.0059905,0.0059905
83,15700.1,1.27461,0.68703,1.07353,0.88358,0.82478,0.9069,0.57857,1.22705,0.62458,1.05609,0.005941,0.005941,0.005941
84,15890.2,1.26896,0.68963,1.07233,0.8957,0.81683,0.90704,0.57467,1.23039,0.63536,1.06037,0.0058915,0.0058915,0.0058915
85,16081.6,1.26938,0.69523,1.07122,0.85617,0.8433,0.90725,0.57112,1.23055,0.62858,1.05818,0.005842,0.005842,0.005842
86,16269.2,1.26552,0.68212,1.07046,0.88146,0.83061,0.90728,0.57785,1.23548,0.63361,1.05653,0.0057925,0.0057925,0.0057925
87,16455,1.25382,0.67816,1.07085,0.89358,0.81683,0.90677,0.57591,1.2392,0.63425,1.05775,0.005743,0.005743,0.005743
88,16641,1.254,0.67841,1.06201,0.86732,0.84489,0.90587,0.57843,1.23093,0.63404,1.05794,0.0056935,0.0056935,0.0056935
89,16826.9,1.24185,0.68121,1.06528,0.8779,0.83377,0.90526,0.57935,1.21554,0.63223,1.05211,0.005644,0.005644,0.005644
90,17016.1,1.23782,0.66517,1.06248,0.88641,0.82208,0.90476,0.57937,1.2172,0.63121,1.05297,0.0055945,0.0055945,0.0055945
91,17215.6,1.23927,0.66983,1.06821,0.88379,0.82127,0.90399,0.57712,1.22327,0.63107,1.05847,0.005545,0.005545,0.005545
92,17424,1.23974,0.67152,1.06429,0.87846,0.83409,0.90319,0.57679,1.22873,0.635,1.05698,0.0054955,0.0054955,0.0054955
93,17609.2,1.25362,0.67199,1.07041,0.88476,0.83642,0.91017,0.58003,1.23116,0.63546,1.06077,0.005446,0.005446,0.005446
94,17794.7,1.23727,0.66962,1.05717,0.88111,0.83801,0.90687,0.57922,1.2255,0.63701,1.05631,0.0053965,0.0053965,0.0053965
95,17979.7,1.23618,0.66438,1.05973,0.87255,0.83358,0.90478,0.57783,1.22142,0.62751,1.05641,0.005347,0.005347,0.005347
96,18164.2,1.23744,0.66121,1.05918,0.88923,0.82445,0.90593,0.57968,1.22401,0.62293,1.05528,0.0052975,0.0052975,0.0052975
97,18348.4,1.22771,0.6579,1.05576,0.85482,0.84784,0.90613,0.57623,1.22434,0.62913,1.05614,0.005248,0.005248,0.005248
98,18533.7,1.2198,0.66066,1.05163,0.87633,0.83276,0.90564,0.57576,1.22542,0.63457,1.05328,0.0051985,0.0051985,0.0051985
99,18718.8,1.23117,0.65751,1.05369,0.88672,0.8253,0.90578,0.57921,1.21836,0.63116,1.05459,0.005149,0.005149,0.005149
100,18904.4,1.21332,0.65064,1.05399,0.8944,0.82372,0.90405,0.57379,1.22196,0.63014,1.05173,0.0050995,0.0050995,0.0050995
101,19089.1,1.20523,0.64609,1.04532,0.88434,0.82213,0.90435,0.57782,1.22094,0.62851,1.04994,0.00505,0.00505,0.00505
102,19274.3,1.19843,0.64378,1.0459,0.89414,0.82372,0.90645,0.57908,1.21814,0.62649,1.05143,0.0050005,0.0050005,0.0050005
103,19460.8,1.21403,0.64876,1.04801,0.88934,0.82478,0.90548,0.57821,1.21482,0.63382,1.05135,0.004951,0.004951,0.004951
104,19646.9,1.21582,0.65565,1.04539,0.8733,0.83925,0.906,0.57711,1.22371,0.63176,1.05076,0.0049015,0.0049015,0.0049015
105,19831.7,1.20367,0.6385,1.04782,0.89295,0.82054,0.9087,0.58517,1.21817,0.62804,1.04739,0.004852,0.004852,0.004852
106,20016.6,1.20528,0.64303,1.0465,0.89727,0.82304,0.90933,0.58326,1.21898,0.62624,1.05191,0.0048025,0.0048025,0.0048025
107,20203,1.19632,0.63157,1.03665,0.88467,0.8253,0.90533,0.57825,1.21621,0.62724,1.0516,0.004753,0.004753,0.004753
108,20388.5,1.18011,0.63151,1.04045,0.88351,0.82583,0.90703,0.58226,1.21674,0.62773,1.05101,0.0047035,0.0047035,0.0047035
109,20574.5,1.19674,0.62916,1.03995,0.88052,0.83219,0.90563,0.582,1.21694,0.62392,1.05105,0.004654,0.004654,0.004654
110,20760.4,1.18729,0.63632,1.04336,0.87395,0.8396,0.90624,0.58165,1.21392,0.622,1.051,0.0046045,0.0046045,0.0046045
111,20947.1,1.19426,0.63438,1.03836,0.88693,0.82637,0.90341,0.58415,1.21093,0.62038,1.04792,0.004555,0.004555,0.004555
112,21132.6,1.17264,0.62281,1.04038,0.87601,0.83536,0.90619,0.58049,1.21038,0.61914,1.05065,0.0045055,0.0045055,0.0045055
113,21319,1.19293,0.63301,1.03705,0.88106,0.83272,0.90796,0.58625,1.20561,0.6234,1.04893,0.004456,0.004456,0.004456
114,21504.7,1.18008,0.63289,1.03458,0.89433,0.82107,0.90698,0.58505,1.21119,0.61836,1.0476,0.0044065,0.0044065,0.0044065
115,21690.3,1.18587,0.63268,1.03668,0.87749,0.83589,0.90774,0.58475,1.2126,0.61231,1.04875,0.004357,0.004357,0.004357
